file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0064_0149_1402675_to_1411197,བེད་སྤྱོད་བྱས་ཡ་བྱེད་ཨེ་ནས་སྔོན་མ་འདི་ཀི་ཨ་དུས་ཚོད་ཀི་ཞིང་པ་དང་ད་ལྟ་དུས་ཚོད་ཀི་ཞིང་པ་ལབ་ན་ད་ཧང་སང་ཡ་ཁྱད་པར་ཆགས་བསྡད་ཡོད་རཱ། ཨེ་ནས་མཉམ་དུ།  ,bed spyod byas ya byed e nas sngon ma 'di ki a dus tshod ki zhing pa dang da lta dus tshod ki zhing pa lab na da hang sang ya khyad par chags bsdad yod rA/_e nas mnyam du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0149_1402675_to_1411197.wav,STT_NS,3,139,8.522,wav16k/STT_NS_M0064_0149_1402675_to_1411197.wav,བེད་སྤྱོད་བྱེད་ཡ་བྱས་ཨེ་ནས་སྔོན་མ་འདི་གི་དུས་ཚོད་ཀི་ཞིང་པ་དང་ད་ལྟ་དུས་ཚོད་ཞིང་པ་ལབ་ན་ད་ཧང་སང་ཡ་ཁྱད་པར་ཆགས་བསྡད་ཡོད་རཱ། ཨེ་ནས་མཉམ་དུ་
STT_NS_M0064_0244_2326547_to_2331947,ཨུང་ཨུང་ཨེ་ནས་དཱ་ཨཱ་ཨཱ་ག་ལབ་དགོས་རེད། སོ་སོ་ཀི་དཱ་རྩི་ཤིང་།  ,ung ung e nas dA A A ga lab dgos red/_so so ki dA rtsi shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0244_2326547_to_2331947.wav,STT_NS,3,61,5.4,wav16k/STT_NS_M0064_0244_2326547_to_2331947.wav,ཨོ་ཨོ་ཨེ་ནས་དཱ་ག་རེ་ལབ་དགོས་རེད་ སོ་སོ་ཀི་ད་རྩི་ཤིང་།
STT_NS_M0064_0150_1411399_to_1421263,ང་ཚོ་ད། ཨ་ང་ཚོ་ད་ཨ་གནམ་གཤིགས་འགྱུར་བ་ཆེན་པོ་གཅིག་ཐེབས་གོ་རཱ་དེང་སང། ད་ང་ཚོ་བྱེད་སྟངས་ག་འདྲའི་ཡིན་ནས་མི་ཚང་མ་ཀི་བྱེད་སྟངས་ལ་བརྟེན་ནས་ང་ཚོ་གནམ་གཤིགས་འགྱུར་བ།  ,nga tsho da/_a nga tsho da a gnam gshigs 'gyur ba chen po gcig thebs go rA deng sang/_da nga tsho byed stangs ga 'dra'i yin nas mi tshang ma ki byed stangs la brten nas nga tsho gnam gshigs 'gyur ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0150_1411399_to_1421263.wav,STT_NS,3,157,9.864,wav16k/STT_NS_M0064_0150_1411399_to_1421263.wav,ང་ཚོ་ད་ང་ཚོ་ད་གནམ་གཤིས་འགྱུར་བ་ཆེན་པོ་ཞིག་ཐེབས་ཀི་ཡོད་ར། དེང་སང་ད་ང་ཚོ་བྱེད་སྟངས་ག་འདྲ་ཡིན་ན་མི་ཚང་མ་གི་བྱེད་སྟངས་ལ་བརྟེན་ནས་ང་ཚོ་གནམ་གཤིས་འགྱུར་བ་ཆེན་པོ།
STT_NS_M0064_0245_2334310_to_2343501,ཨེ་ནས་དཱ་ང་ཚོ་ཁོར་ཡུག་ནང་དེང་སང་འདྲ་བོ་སྔོན་མ་འདྲ་བོ་ཡིན་ན་སེམས་ཅན་རིགས་ཧང་སང་ཡ་མང་པོ་སྟོང་ཕྲག་མང་པོ་སྟོན་ཡ་ཡོད་རཱ། བྱ་ཁོ་རང་བྱ་རིགས་མང་པོ་ཨེ་ནས་སེམས་ཅན་ཡིན་ན་སེམས་ཅན་རིགས་མང་པོ་ཡོད་རེད།  ,e nas dA nga tsho khor yug nang deng sang 'dra bo sngon ma 'dra bo yin na sems can rigs hang sang ya mang po stong phrag mang po ston ya yod rA/_bya kho rang bya rigs mang po e nas sems can yin na sems can rigs mang po yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0245_2334310_to_2343501.wav,STT_NS,3,188,9.191,wav16k/STT_NS_M0064_0245_2334310_to_2343501.wav,ཨེ་ནས་ད་ང་ཚོ་ཁོར་ཡུག་ནང་དེང་སང་འདྲ་བོ་སྔོན་མ་འདྲ་བོ་ཡིན་ནད་སེམས་ཅན་རིགས་ཧང་སང་ཡ་མང་པོ་སྟོང་ཕྲག་མང་པོ་སྟོན་ཡ་ཡོད་ར། ད་བྱ་ཁོ་རང་བྱ་རིགས་མང་པོ་ ཨེ་ནས་སེམས་ཅན་ར་སེམས་ཅན་རིགས་མང་པོ་ཡོད་རེད།
STT_NS_M0064_0246_2343501_to_2352692,དེང་སང་ང་ཚོ་དུས་ཚོད་བལྟ་དང་དཱ་གནམ་གཤིས་འགྱུར་བ་ཡིན་ནས་རེད། ཁ་ཤས་ཚ་གྲང་ཀི་རྐྱེན་པས་རེད་གནམ་གཤིས་རྐྱེན་པས་སེམས་ཅན་རིགས་མང་པོ་ཞིག་བསྡད་མ་ཐུབ་གནས་མ་ཐུབ་ནས།  ,deng sang nga tsho dus tshod blta dang dA gnam gshis 'gyur ba yin nas red/_kha shas tsha grang ki rkyen pas red gnam gshis rkyen pas sems can rigs mang po zhig bsdad ma thub gnas ma thub nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0246_2343501_to_2352692.wav,STT_NS,3,153,9.191,wav16k/STT_NS_M0064_0246_2343501_to_2352692.wav,དེང་སང་ང་ཚོ་དུས་ཚོད་ལྟ་དང་། ད་གནམ་གཤིས་འགྱུར་བ་ེད་ཡིན་ན་རེད། ཁ་ཤས་ཚ་གྲང་རྐྱེན་པས་རེད། གནམ་གཤིས་རྐྱེན་པས་ཀིཨེ་ནས་སེམས་ཅན་རིགས་མང་པོ་ཞིག་ཡ་བསྡད་མ་ཐུབ་ན་གནསམ
STT_NS_M0064_0151_1421263_to_1431126,འགྲོ་དུས་སྐབས་སུ་ཡོད་བ། དུས་ཚོད་གཅིག་ལ་ང་ཚོ་ཚ་བ་ཚར་བོ་སྐབས་ལ་སླེབས་ཀི་ད། ཨེ་ནས་ཚ་བ་ཚར་བོ་སྐབས་སུ་ད་ང་ཚོ་ཤིང་སྡོང་ཧང་སང་ཡ་སྟོང་ཕྲག་མང་པོ་ཡོད་བ་སྡེབ་གཅིག་ལ་མེ་འབར་ཡ་དང་ཨེ་འདྲའི་བྱུང་མྱོང་།  ,'gro dus skabs su yod ba/_dus tshod gcig la nga tsho tsha ba tshar bo skabs la slebs ki da/_e nas tsha ba tshar bo skabs su da nga tsho shing sdong hang sang ya stong phrag mang po yod ba sdeb gcig la me 'bar ya dang e 'dra'i byung myong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0151_1421263_to_1431126.wav,STT_NS,3,188,9.863,wav16k/STT_NS_M0064_0151_1421263_to_1431126.wav,འགྲོ་དུས་སྐབས་སུ་ཡོད་།དུས་ཚོད་གཅིག་ལ་ང་ཚོ་ཚ་བ་ཚ་བོ་སྐབས་སླེབས་ཀི་འདུག་བཨེ་ནས་ཚོར་བ་ཚ་བོ་སྐབས་སུད་ང་ཚོ་ཤིང་སྡོང་ཧང་སངསྟོང་ཕྲག་མང་པོ་ཡོད་བ་དེབ་གཅིག་ལ་མེ་འབར་ཡ་དང་ཨེ་འདྲའི་བྱུང་གི
STT_NS_M0064_0152_1431126_to_1440990,ཨོ་དེ་ང་ཚོ་ཡི་ད་ཨ་འཁོར་ཡུག་གི་ཚ་གྲང་འདི་ཏག་ཏག་མ་བསྡད་བ་བྱས། ཨེ་ནས་ཁོར་ཡུག་ཚ་གྲང་ཡི་འབྱུང་བ་བཞི་འཐབས་ནས་ཡོད་བ་ད་བྱུང་གོ་རཱ་མེ་འབར་ཡ་དང་།  ,o de nga tsho yi da a 'khor yug gi tsha grang 'di tag tag ma bsdad ba byas/_e nas khor yug tsha grang yi 'byung ba bzhi 'thabs nas yod ba da byung go rA me 'bar ya dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0152_1431126_to_1440990.wav,STT_NS,3,137,9.864,wav16k/STT_NS_M0064_0152_1431126_to_1440990.wav,དཨོ་འདི་ང་ཚོ་གི་དཱ་ཁོར་ཡུག་གི་ཚ་གྲངས་འདི་ཏག་ཏག་མ་བསྡད་བ་བྱས་ཨེ་ནས་ཁོར་ཡུག་ཚ་གྲངས་ིན་འབྱུང་བ་ཞིག་ཐབ་ནས་ཡ་ད་བྱུང་གི་ཡོད་རཱ་ི་མེ་འབར་ཡ་དང་།
STT_NS_M0064_0247_2352692_to_2361884,གནས་མ་ཐུབ་ནས་ཨེ་ནས་སྟོང་འགྲོ་ཀི་འདུག་བཱ། ཨེ་ནས་བྱེད་ཙང་ང་ཚོ་དེང་སང་འདྲ་བོ་ཡིན་ན་དཱ་ག་ལབ་དགོས་རེད་དཱ་ཌཱཨི་ནཱ་སོར། ཡིན་ན་ཡོད་མ་རེད་བཱ་མཐོང་ཡ་ཁོ་རང་ཡོད་མ་རེད་བཱ། བྱ་ཧང་སང་།  ,gnas ma thub nas e nas stong 'gro ki 'dug bA/_e nas byed tsang nga tsho deng sang 'dra bo yin na dA ga lab dgos red dA DAi nA sor/_yin na yod ma red bA mthong ya kho rang yod ma red bA/_bya hang sang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0247_2352692_to_2361884.wav,STT_NS,3,171,9.192,wav16k/STT_NS_M0064_0247_2352692_to_2361884.wav,ཐུབན་ནས་གཏོང་འགྲོ་གི་འདུག་ད་མེད་པ་ཆགས་འགྲོ་གི་འདུག ཨེ་ནས་བྱས་ཙང་ད་ང་ཚོ་དེང་སང་འདྲ་བོ་ཡིན་ན་ད་ག་རེ་ལབ་དགོས་རེད་ད་ཌེ་ན་སོ་འདྲ་བོ་ན་ཡོད་མ་རམཐོང་ཡ་ཁོ་རང་ཡོད་མ་རཨེ་ནས་་ཧང་
STT_NS_M0064_0248_2361884_to_2371075,ཧང་སང་ཡ་མང་པོ་ཟིག་མེད་བ་ཆགས་ཚར་ཞཱ། གང་ལབ་ན་ང་ཚོ་ཀི་སེམས། ཁོར་ཡུག་འདི་འགྱུར་བ་འགྲོ་དུས་སྐབས་སུ་ཁོ་ཚོ་གནས་མ་ཐུབ་ཨེ་ནས་ཁོར་ཡུག་འདི་ཁོ་ཚོ་ཀི ,hang sang ya mang po zig med ba chags tshar zhA/_gang lab na nga tsho ki sems/_khor yug 'di 'gyur ba 'gro dus skabs su kho tsho gnas ma thub e nas khor yug 'di kho tsho ki_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0248_2361884_to_2371075.wav,STT_NS,3,137,9.191,wav16k/STT_NS_M0064_0248_2361884_to_2371075.wav,ཧང་སང་ཡ་མང་པོ་ཅིག་མེད་པ་ཆགས་ཚར་རེད། ག་རེ་ལབ་ན་ང་ཚོ་ཀི་སེམསང་ཚོི་ཁོར་ཡུག་འདི་འགྱུར་བ་འགྲོ་དུས་སྐབས་སུ་ཁོ་ཚོ་གནས་མ་ཐུབ་ཨེ་ནས་ཁོར་ཡུག་འདི་ཁོ་ཚོ་ཀི་དཱ།
STT_NS_M0064_0153_1440990_to_1450853,ང་ཚོ་དེབ་མང་པོ་གཅིག་ལ་ཡོད་བ་ཨ། རྩིས་ཤིང་ཧང་སང་ཡ་མང་པོ་གཅིག་ད་ཨོ་འདི་ཡོད་བ་ང་ཚོ་རྩི་ཤིང་གཅིག་བཏབ་ཡ་ལ་ག་འདྲའི་དཀའ་ལས་འདུག ཨེ་ནས་རྩི་ཤིང་གཅིག་བཏབ་ནས་སྐྱེས་ཡ་ལོ་ག་ཚོད་ལོ།  ,nga tsho deb mang po gcig la yod ba a/_rtsis shing hang sang ya mang po gcig da o 'di yod ba nga tsho rtsi shing gcig btab ya la ga 'dra'i dka' las 'dug_e nas rtsi shing gcig btab nas skyes ya lo ga tshod lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0153_1440990_to_1450853.wav,STT_NS,3,168,9.863,wav16k/STT_NS_M0064_0153_1440990_to_1450853.wav,དེབ་མང་པོ་ཅིག་ལ་ཡོད་བ་རྩི་ཤིང་ཧང་སང་ཡ་མང་པོ་ཞིག་མེད་། ད་ཨོ་འདི་ཡོད་བ་ད་ང་ཚོ་རྩི་ཤིང་གཅིག་བཏབ་ཡ་ལ་ག་འདྲའི་དཀའ་ལས་འདུག ཨེ་ནས་རྩི་ཤིང་གཅིག་བཏབ་སྟངས་ཡོད་བ་སྐྱེས་ཡ་ལ་ལོ་ག་ཚོད་ོ་
STT_NS_M0064_0154_1450853_to_1460716,སྟོང་ཕྲག ལོ་སྟོང་ཕྲག་ད་ག་རེད་ལབ་དགོས་རེད། ལོ་ད་བཞི་ལྔ་དྲུག་སྒོར་གི་རཱ། ད་ཨོ་འདི་ཡིན་དུས་སྐབས་སུ་ཡོད་བ་ད་ང་ཚོ་ད་རང་བྱུང་གི་ད་དངོས་པོ་གཅིག་ད།  ,stong phrag_lo stong phrag da ga red lab dgos red/_lo da bzhi lnga drug sgor gi rA/_da o 'di yin dus skabs su yod ba da nga tsho da rang byung gi da dngos po gcig da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0154_1450853_to_1460716.wav,STT_NS,3,141,9.863,wav16k/STT_NS_M0064_0154_1450853_to_1460716.wav,སྟོང་ཕྲག་ལོ་སྟོང་ཕྲག་ད་ད་ག་རེ་ལབ་དགོས་རེད། ལོ་་བཞི་ལྔ་དྲུག་འགོར་གི་རཱ། ད་ཨོ་འདི་ཡིན་དུས་སྐབས་སུ་བད་ང་ཚོ་དཱ་རང་བྱུང་གི་དཱ་དངོས་པོ་གཅིག་ད།
STT_NS_M0064_0155_1460716_to_1470580,རྩི་ཤིང་འདྲ་བོ་གཅིག་ཆ་མཚོན་བ་ཡིན་ན་རྩི་ཤིང་ཨེ་འདྲའི་དེབ་མང་པོ་ད་སྟོང་ཕྲག་མང་པོ་ཡོད་བ། ཚར་གཅིག་ལ་ཡོད་བ་མེ་འབར་ན་ཡོད་བ་ད་ང་ཚོ་ཕངས་པོ་གཅིག་ད་ང་ཚོ་ད་མཇུག་མ་ལ་ང་ཚོ་རང་བྱུང་གི།  ,rtsi shing 'dra bo gcig cha mtshon ba yin na rtsi shing e 'dra'i deb mang po da stong phrag mang po yod ba/_tshar gcig la yod ba me 'bar na yod ba da nga tsho phangs po gcig da nga tsho da mjug ma la nga tsho rang byung gi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0155_1460716_to_1470580.wav,STT_NS,3,172,9.864,wav16k/STT_NS_M0064_0155_1460716_to_1470580.wav,རྩི་ཤིང་འདྲ་བོ་ཆ་མཚོན་པ་ཡིན་ན་རྩི་ཤིང་ཨེ་འདྲའི་དེབ་མང་པོ་ད་སྟོང་ཕྲག་མང་པོ་ཡོད་བ་ ཚར་གཅིག་ལ་མེ་འབར་ན་ཡོད་བད་ང་ཚོ་ཕང་པོ་ཅིག་ད་ང་ཚོ་དཱ་མཇུག་མ་ལ་ང་ཚོ་རང་བྱུང་གི་
STT_NS_M0064_0156_1472149_to_1480557,དངོས་པོ་ཀི་དཀའ་ངལ་ཕྲད་ཡ་དང་དངོས་པོ་ཉུང་བ་ཆགས་ཡ་དང་ཡང་ན་ཨོ་དེ་ཚོ་ཁོ་ཚོ་ཡོད་བ་དཀོན་པོ་ཆགས་ཡ་རྩི་ཤིང་འདི་དཀོན་པོ་ཆགས་ཡ་འདི།  ,dngos po ki dka' ngal phrad ya dang dngos po nyung ba chags ya dang yang na o de tsho kho tsho yod ba dkon po chags ya rtsi shing 'di dkon po chags ya 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0156_1472149_to_1480557.wav,STT_NS,3,122,8.408,wav16k/STT_NS_M0064_0156_1472149_to_1480557.wav,དངོས་པོ་གི་དཀའ་ངལ་འཕྲད་ཡ་དང་དངོས་པོ་ཉུང་བ་ཆགས་ཡ་དང་ཡང་ན་འོ་འདི་ད་ཚོ་ཁོ་ཚོ་དཀོན་པོ་ཆགས་ཡ་རྩི་ཤིང་རིགས་དཀོན་པོ་ཆགས་ཡ་འདི།
STT_NS_M0064_0262_2482759_to_2490437,ཡོད་བ་རི་ཀ་ལྟ་ཡ་ད་སྔོན་མ་འདྲ་བོ་ཡིན་ན་ད་མང་ཆེ་བ་མི་ཁ་ཤས་ལུག་རྫི་ཡིན་དུས་སྐབས་སུ་ལུག་རྫི་ལ་སོ་སོ་མཐོང་ཡ་འདྲ་བོ་དང་ཐག་རིང་པོ་ནས་ཤྭ་བ་རེད།  ,yod ba ri ka lta ya da sngon ma 'dra bo yin na da mang che ba mi kha shas lug rdzi yin dus skabs su lug rdzi la so so mthong ya 'dra bo dang thag ring po nas shwa ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0262_2482759_to_2490437.wav,STT_NS,3,137,7.678,wav16k/STT_NS_M0064_0262_2482759_to_2490437.wav,ཡོདབརི་ལ་ལྟ་བད་སྔོན་མ་འདྲ་བོ་ཡིན་ན་ད་མང་ཆེ་མི་ཁ་ཤས་ལུག་རྫི་ཡིན་དུས་སྐབས་སུ་ལུག་རྫི་ལ་སོ་སོ་མཐོང་ཡ་འདྲ་བོ་དང་ཐག་རིང་པོ་ནས་ཤྭ་བ་རེད།
STT_NS_M0064_0249_2371075_to_2380266,ཁོ་རང་ཚོ་ཁོར་ཡུག་གཅིག་དགོས་རཱ་ཨུང་འདི་ཏག་ཏག་མ་རག་དུས་སྐབས་སུ་དཱ་ང་ཚོ་དཱ་ཏག་ཏག་མ་བྱེད་ནས་རག་ཀི་ཡོད་མ་རེད། སྔོན་མ་དུས་ཚོད་གནས་ཐུབ་ཡ་དང་དང་སང་དུས་ཚོད་གནས་མ་ཐུབ་ཡ་འདི་ཡོད་བཱ་རྒྱུ་མཚན་གཅིག ,kho rang tsho khor yug gcig dgos rA ung 'di tag tag ma rag dus skabs su dA nga tsho dA tag tag ma byed nas rag ki yod ma red/_sngon ma dus tshod gnas thub ya dang dang sang dus tshod gnas ma thub ya 'di yod bA rgyu mtshan gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0249_2371075_to_2380266.wav,STT_NS,3,184,9.191,wav16k/STT_NS_M0064_0249_2371075_to_2380266.wav,ཁོ་རང་ཚོ་ཁོར་ཡུག་ཅིག་དགོས་རཱ། ཨོ་འདི་ཏག་ཏག་མ་རག་འ་སྐབས་སུ་ད་ང་ཚོ་ཏག་ཏག་ག་བྱས་ནས་རག་གི་ོད་མ་རེད། སྔོན་མ་དུས་ཚོད་ལ་ད་གནན་ཐུབ་ཡ་དང་་ོདེང་སང་དུས་ཚོད་ལེན་མ་ཐུབ་ཡ་འདི་ཡོད་བ་དཱ་རྒྱུ་མཚན་གཅིག་དི་ད་ད།
STT_NS_M0064_0250_2380266_to_2389457,དེང་སང་ང་ཚོ་མི་འདི་ཀི་ཡོད་བཱ་བྱེད་སྟངས་ངན་དྲགས་ཨེ་ནས་དཱ་མི་དེ་ཚོ་ཀི་བྱེད་སྟངས་སྡུག་དྲགས་ཨེ་ནས། བྱེད་སྟངས་ཨེ་ནས་ཡག་པོ་མ་བྱས་སྐབས་སུ།  ,deng sang nga tsho mi 'di ki yod bA byed stangs ngan drags e nas dA mi de tsho ki byed stangs sdug drags e nas/_byed stangs e nas yag po ma byas skabs su/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0250_2380266_to_2389457.wav,STT_NS,3,133,9.191,wav16k/STT_NS_M0064_0250_2380266_to_2389457.wav,སང་ང་ཚོ་མི་འདི་གི་ཡོད་བབྱེད་སྟངས་ངན་གྲགས་ཨེ་ནས་ཨེ་ནས་ང་ཚོ་མི་འདི་ཚོ་གི་བྱེད་སྟངས་སྡུག་དྲག་ཨེ་ནས་བྱེད་སྟངས་དཱ་ཡག་པོ་མ་བྱེད་སྐབས་སུཡ་།
STT_NS_M0064_0251_2389457_to_2398649,དཱ་འགྱུར་བ་གཅིག་ལ་འགྱུར་བ་ཐེབས་ན་ཡོད་བཱ་ཨེ་ནས་དཱ་ཁོར་ཡུག་ཀི་ཟུར་གཅིག་ལ་འགྱུར་བ་ཐེབས་ན་ཚང་མ། དོ་ཕོག་འགྲོ་ཡ་གཅིག་ཡོད་བཱ།  ,dA 'gyur ba gcig la 'gyur ba thebs na yod bA e nas dA khor yug ki zur gcig la 'gyur ba thebs na tshang ma/_do phog 'gro ya gcig yod bA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0251_2389457_to_2398649.wav,STT_NS,3,120,9.192,wav16k/STT_NS_M0064_0251_2389457_to_2398649.wav,དའགྱུར་བ་གཅིག་ལ་འགྱུར་བ་ཐེབས་ན་ཡོད་བ། ཨེ་ནས་དཱ་ཁོར་ཡུག་གི་ཟུར་གཅིག་ལ་འགྱུར་བ་ཐེབས་ན་ཨ་ནཚང་མ་ལ་དོ་འགྲོ་ཡ་ཅིག་ཡོད་བ། ཨོ་འདི་ཡིན་དུས་སྐབས་སུ་ང་ཚོ།
STT_NS_M0064_0263_2490437_to_2498115,ཨེ་ནས་གནའ་བོ་རེད་ཚང་མ་ཐག་རིང་པོ་ནས་མཐོང་ཡ་གཅིག་ཡོད་བ། ད་ཨོ་དེ་ཀི་ཉམས་བྱས་དེང་སང་ང་ཚོ་ད་སྤྱན་གཟིགས་ཁང་ལབ་ནི་སེམས་ཅན་འདྲ་མིན་འདྲ་མང་པོ་བཞག་གི་རཱ།  ,e nas gna' bo red tshang ma thag ring po nas mthong ya gcig yod ba/_da o de ki nyams byas deng sang nga tsho da spyan gzigs khang lab ni sems can 'dra min 'dra mang po bzhag gi rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0064_0263_2490437_to_2498115.wav,STT_NS,3,145,7.678,wav16k/STT_NS_M0064_0263_2490437_to_2498115.wav,ཨེ་ནས་གྣའ་བོ་རེད་ཚང་མ་ཐག་རིང་པོ་འདྲ་མཐོང་ཡ་ཅིག་ཡོད་བ། དཱ་ཨོ་འདི་གི་ཉམས་བྱས་ད་དེང་སང་ང་ཚོ་ད་སྤྱན་གཟིག་ཁང་ནང་ལ་སེམས་ཅན་འདྲ་མི་འདྲ་མང་པོ་ིག་བཆགས་གི་རཱ།
